,REF_DATE,GEO,Sex,Age group,UOM,VALUE
180,2001-01-01,"Montréal, Quebec",Both sexes,20 to 24 years,Persons,261069.0
181,2001-01-01,"Montréal, Quebec",Both sexes,25 to 29 years,Persons,254750.0
182,2001-01-01,"Montréal, Quebec",Both sexes,30 to 34 years,Persons,269964.0
183,2001-01-01,"Montréal, Quebec",Both sexes,35 to 39 years,Persons,316527.0
184,2001-01-01,"Montréal, Quebec",Both sexes,40 to 44 years,Persons,317236.0
185,2001-01-01,"Montréal, Quebec",Both sexes,45 to 49 years,Persons,277250.0
186,2001-01-01,"Montréal, Quebec",Both sexes,50 to 54 years,Persons,247818.0
187,2001-01-01,"Montréal, Quebec",Both sexes,55 to 59 years,Persons,200711.0
188,2001-01-01,"Montréal, Quebec",Both sexes,60 to 64 years,Persons,155335.0
189,2001-01-01,"Montréal, Quebec",Both sexes,65 to 69 years,Persons,137869.0
190,2001-01-01,"Montréal, Quebec",Both sexes,70 to 74 years,Persons,122375.0
191,2001-01-01,"Montréal, Quebec",Both sexes,75 to 79 years,Persons,94574.0
252,2001-01-01,"Toronto, Ontario",Both sexes,20 to 24 years,Persons,333254.0
253,2001-01-01,"Toronto, Ontario",Both sexes,25 to 29 years,Persons,366422.0
254,2001-01-01,"Toronto, Ontario",Both sexes,30 to 34 years,Persons,411663.0
255,2001-01-01,"Toronto, Ontario",Both sexes,35 to 39 years,Persons,454574.0
256,2001-01-01,"Toronto, Ontario",Both sexes,40 to 44 years,Persons,419878.0
257,2001-01-01,"Toronto, Ontario",Both sexes,45 to 49 years,Persons,360778.0
258,2001-01-01,"Toronto, Ontario",Both sexes,50 to 54 years,Persons,319312.0
259,2001-01-01,"Toronto, Ontario",Both sexes,55 to 59 years,Persons,232036.0
260,2001-01-01,"Toronto, Ontario",Both sexes,60 to 64 years,Persons,185989.0
261,2001-01-01,"Toronto, Ontario",Both sexes,65 to 69 years,Persons,162781.0
262,2001-01-01,"Toronto, Ontario",Both sexes,70 to 74 years,Persons,142169.0
263,2001-01-01,"Toronto, Ontario",Both sexes,75 to 79 years,Persons,111773.0
648,2001-01-01,"Calgary, Alberta",Both sexes,20 to 24 years,Persons,75229.0
649,2001-01-01,"Calgary, Alberta",Both sexes,25 to 29 years,Persons,81150.0
650,2001-01-01,"Calgary, Alberta",Both sexes,30 to 34 years,Persons,82399.0
651,2001-01-01,"Calgary, Alberta",Both sexes,35 to 39 years,Persons,89266.0
652,2001-01-01,"Calgary, Alberta",Both sexes,40 to 44 years,Persons,92526.0
653,2001-01-01,"Calgary, Alberta",Both sexes,45 to 49 years,Persons,79142.0
654,2001-01-01,"Calgary, Alberta",Both sexes,50 to 54 years,Persons,62229.0
655,2001-01-01,"Calgary, Alberta",Both sexes,55 to 59 years,Persons,41963.0
656,2001-01-01,"Calgary, Alberta",Both sexes,60 to 64 years,Persons,30731.0
657,2001-01-01,"Calgary, Alberta",Both sexes,65 to 69 years,Persons,26572.0
658,2001-01-01,"Calgary, Alberta",Both sexes,70 to 74 years,Persons,23192.0
659,2001-01-01,"Calgary, Alberta",Both sexes,75 to 79 years,Persons,17205.0
684,2001-01-01,"Edmonton, Alberta",Both sexes,20 to 24 years,Persons,77028.0
685,2001-01-01,"Edmonton, Alberta",Both sexes,25 to 29 years,Persons,72213.0
686,2001-01-01,"Edmonton, Alberta",Both sexes,30 to 34 years,Persons,71777.0
687,2001-01-01,"Edmonton, Alberta",Both sexes,35 to 39 years,Persons,81664.0
688,2001-01-01,"Edmonton, Alberta",Both sexes,40 to 44 years,Persons,85088.0
689,2001-01-01,"Edmonton, Alberta",Both sexes,45 to 49 years,Persons,74594.0
